Brand,Product,Shade,Hex
Miss Rose,Airbrush Flawless Foundation,Natural,#efe2d2
Miss Rose,Airbrush Flawless Foundation,Fair,#e6decc
Miss Rose,Airbrush Flawless Foundation,Ivory 6,#edd8c5
Miss Rose,Airbrush Flawless Foundation,Beige 1,#ead1b1
Miss Rose,Airbrush Flawless Foundation,Beige 2,#e1c092
Miss Rose,Airbrush Flawless Foundation,Beige 3,#debd9e
Miss Rose,Airbrush Flawless Foundation,Beige 4,#d8b286
Miss Rose,Miss Rose Flawless Foundation,Natural,#e3c8aa
Miss Rose,Miss Rose Flawless Foundation,Fair,#e4c6aa
Miss Rose,Miss Rose Flawless Foundation,Ivory 6,#ecd1c1
Miss Rose,Miss Rose Flawless Foundation,Beige 1,#f0c385
Miss Rose,Miss Rose Flawless Foundation,Beige 2,#e9bd80
Miss Rose,Miss Rose Flawless Foundation,Beige 3,#ebb78a
Miss Rose,Miss Rose Flawless Foundation,Beige 4,#ecbd87
Miss Rose,Miss Rose Purely Natural Foundation,Fair,#dbd2c2
Miss Rose,Miss Rose Purely Natural Foundation,Ivory 6,#e4d1c0
Miss Rose,Miss Rose Purely Natural Foundation,Beige 1,#dbc4a5
Miss Rose,Miss Rose Purely Natural Foundation,Beige 2,#d8ba94
Miss Rose,Miss Rose Purely Natural Foundation,Beige 3,#dbb79b
Miss Rose,Miss Rose Purely Natural Foundation,Beige 4,#d1bba3
Miss Rose,Miss Rose Silk Foundation ,Natural,#eccb8d
Miss Rose,Miss Rose Silk Foundation ,Fair,#f4e5b8
Miss Rose,Miss Rose Silk Foundation ,Ivory 6,#efc889
Miss Rose,Miss Rose Silk Foundation ,Beige 1,#e9c075
Miss Rose,Miss Rose Silk Foundation ,Beige 2,#eec27a
Miss Rose,Miss Rose Silk Foundation ,Beige 3,#eabd82
Miss Rose,Miss Rose Silk Foundation ,Beige 4,#e0ae6f
Miss Rose,Miss Rose Matte Foundation,Fair,#e0dcd1
Miss Rose,Miss Rose Matte Foundation,Ivory 6,#ebded5
Miss Rose,Miss Rose Matte Foundation,Beige 1,#efdec0
Miss Rose,Miss Rose Matte Foundation,Beige 2,#edd4bd
Miss Rose,Miss Rose Matte Foundation,Beige 3,#e3c8b7
Miss Rose,Miss Rose Matte Foundation,Beige 4,#d2b8ab
Miss Rose,Miss Rose HD Foundation,Fair,#dad7ce
Miss Rose,Miss Rose HD Foundation,Ivory 6,#e7d9ce
Miss Rose,Miss Rose HD Foundation,Beige 1,#dfd1b4
Miss Rose,Miss Rose HD Foundation,Beige 2,#d9c6aa
Miss Rose,Face Foundation Stick,1,#ceca9a
Miss Rose,Face Foundation Stick,2,#d0ce9c
Miss Rose,Face Foundation Stick,6,#d6cea9
Miss Rose,Face Foundation Stick,7,#dbd9c7
Miss Rose,Miss Rose Oil Free Liquid foundation,Fair,#ece4d8
Miss Rose,Miss Rose Oil Free Liquid foundation,Ivory 6,#dbd3c6
Miss Rose,Miss Rose Oil Free Liquid foundation,Beige 1,#dbcbb1
Miss Rose,Miss Rose Oil Free Liquid foundation,Beige 2,#d3b492
Miss Rose,Miss Rose Oil Free Liquid foundation,Beige 3,#d2af89
Miss Rose,Miss Rose Oil Free Liquid foundation,Beige 4,#d3ae82
Miss Rose,Missrose New High Coverage Foundation,Fair,#dad9bc
Miss Rose,Missrose New High Coverage Foundation,Ivory 6,#e1d8bb
Miss Rose,Missrose New High Coverage Foundation,Beige 1,#d9d2b6
Miss Rose,Missrose New High Coverage Foundation,Beige 2,#e0d3aa
Miss Rose,Missrose New High Coverage Foundation,Beige 3,#dacbac
Miss Rose,Missrose New High Coverage Foundation,Beige 4,#d6c5a3
Miss Rose,MISS ROSE Full Coverage Matte Foundation,Fair,#c1a387
Miss Rose,MISS ROSE Full Coverage Matte Foundation,Ivory 6,#c4a281
Miss Rose,MISS ROSE Full Coverage Matte Foundation,Beige 1,#cba87d
Miss Rose,MISS ROSE Full Coverage Matte Foundation,Beige 2,#cbaa86
Miss Rose,MISS ROSE Full Coverage Matte Foundation,Beige 3,#c5a483
Miss Rose,MISS ROSE Full Coverage Matte Foundation,Beige 4,#bd9d7a
Miss Rose,Missrose Moisturizing Flawless Liquid Foundation,Fair,#d4c3ae
Miss Rose,Missrose Moisturizing Flawless Liquid Foundation,Ivory 6,#d0b59a
Miss Rose,Missrose Moisturizing Flawless Liquid Foundation,Beige 1,#c2aa83
Miss Rose,Missrose Moisturizing Flawless Liquid Foundation,Beige 2,#c6aa88
Miss Rose,Missrose Moisturizing Flawless Liquid Foundation,Beige 3,#c0a585
Miss Rose,Missrose Unique Double Wear Liquid Foundation,Fair,#d3b8a3
Miss Rose,Missrose Unique Double Wear Liquid Foundation,Ivory 6,#cbab94
Miss Rose,Missrose Unique Double Wear Liquid Foundation,Beige 1,#cead87
Miss Rose,Missrose Unique Double Wear Liquid Foundation,Beige 2,#caa781
Miss Rose,Missrose Unique Double Wear Liquid Foundation,Beige 3,#cba37f
Miss Rose,Missrose Unique Double Wear Liquid Foundation,Beige 4,#c49a77
